ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_0540011114,LEECHES (12),97206,97206,,,,a,601 34 016,Each,1.00,,,u,_605400111143,Master,2.50,0.00,2012-04-01,2075-12-31
_0540011116,WAX WORMS,89649,89649,,,,a,601 34 016,Each,1.00,,,u,_605400111167,Master,2.50,0.00,2012-04-01,2075-12-31
_0540011120,GREEN CRAWLERS,150918,150918,,,,a,601 34 016,Each,1.00,,,u,_605400111204,Master,2.50,0.00,2012-04-01,2075-12-31
_0540011120,,,,,,,,,,,,,u,_837800004040,,,,,
_0540011120,,,,,,,,,,,,,u,_866557000067,,,,,
_0540011122,BUTTER WORMS (12),152423,152423,,,,a,601 34 016,Each,1.00,,,u,_605400111228,Master,2.50,0.00,2012-04-01,2075-12-31
_45352,WALT'S CRAWLERS 1tub,45352,45352,,,,a,601 34 016,Each,1.00,,,u,_605400111129,Master,2.50,0.00,2012-04-01,2075-12-31
_46001,LEAF WORMS,46001,46001,,,,a,601 34 016,Each,1.00,,,u,_605400111136,Master,2.50,0.00,2012-04-01,2075-12-31
_46001,,,,,,,,,,,,,u,_857585001041,,,,,
_605400111150,MOUSES BAIT,185694,185694,,,,a,601 34 016,Each,1.00,,,u,_605400111150,Master,2.50,0.00,2012-04-01,2075-12-31
_605400111174,SPAWN BAIT,185693,185693,,,,a,601 34 016,Each,1.00,,,u,_605400111174,Master,2.50,0.00,2012-04-01,2075-12-31
_605400111181,SALTED SHINERS BAIT,185695,185695,,,,a,601 34 016,Each,1.00,,,u,_605400111181,Master,2.50,0.00,2012-04-01,2075-12-31
_605400111198,SPIKES BAIT,185696,185696,,,,a,601 34 016,Each,1.00,,,u,_605400111198,Master,2.50,0.00,2012-04-01,2075-12-31
