ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_000018200229848,NATURAL ICE 3PK 25z CN,1067909,1067909,,,,a,401 01N 000,Case,15.00,,,u,_018200229848,Master,18.90,0.00,2015-05-05,2075-12-31
_00018200281372,BUD 20PK 16z ALUM,1076332,1076334,,,,a,401 01G 000,Case,20.00,,,u,_018200281372,Master,23.00,0.00,2016-02-29,2075-12-31
_00018200281402,BUD LT 20PK 16z ALUM,1076335,1076335,,,,a,401 01G 000,Case,20.00,,,u,_018200281402,Master,23.00,0.00,2016-02-29,2075-12-31
_014974100024,WOODCHUCK RSP CIDER 6PK 12z LN,173524,173524,,,,a,401 05B 000,Case,24.00,,,u,_014974100024,Master,30.30,0.00,2017-08-09,2075-12-31
_014974130021,WOODCHUCK GUMPTION 6PK 12z LN,1077173,1077173,,,,a,401 05B 000,Case,24.00,,,u,_014974130021,Master,30.30,0.00,2017-08-09,2075-12-31
_014974500091,WOODCHUCK AMBER 6PK 12z LN,56418,56418,,,,a,401 05B 000,Case,24.00,,,u,_014974500022,Master,30.30,0.00,2017-08-09,2075-12-31
_014974500091,,,,,,,,,,,,,u,_014974500053,,,,,
_014974500091,,,,,,,,,,,,,u,_014974500091,,,,,
_014974800092,WOODCHUCK GRNY SMTH CIDER 6PK 12z LN,158365,158365,,,,a,401 05B 000,Case,24.00,,,u,_014974800054,Master,30.30,0.00,2017-08-09,2075-12-31
_014974800092,,,,,,,,,,,,,u,_014974800092,,,,,
_018200000164,BUD 6PK 12z CN,13440,13440,,,,a,401 01B 000,Case,24.00,,,e,_0182000052378,Master,25.40,0.00,2018-09-10,2075-12-31
_018200000164,,,,,,,,,,,,,u,_018200000164,,,,,
_018200000164,,,,,,,,,,,,,u,_018200005237,,,,,
_018200000164,,,,,,,,,,,,,u,_018200110344,,,,,
_018200000164,,,,,,,,,,,,,u,_018200114557,,,,,
_018200000645,BUD LT PLATINUM 22z LN,1051285,1051285,,,,a,401 01J 000,Case,15.00,,,u,_018200000645,Master,30.45,0.00,2018-09-10,2075-12-31
_018200000645,,,,,,,,,,,,,u,_018200009075,,,,,
_018200001062,BUD LT 6PK 12z CN,13450,13450,,,,a,401 01B 000,Case,24.00,,,u,_018200001062,Master,25.40,0.00,2018-09-10,2075-12-31
_018200001062,,,,,,,,,,,,,u,_018200530340,,,,,
_018200001178,BUD LT 32z LN,16580,16580,,,,a,401 01J 000,Case,12.00,,,u,_018200001178,Master,28.65,0.00,2018-09-10,2075-12-31
_018200001178,,,,,,,,,,,,,u,_018200530326,,,,,
_018200001307,KING COBRA 32z LN,1058064,1058064,,,,a,401 01J 000,Case,12.00,,,u,_018200001307,Master,19.45,0.00,2018-10-01,2075-12-31
_018200001475,NATURAL ICE 32z LN,1063736,1063736,,,,a,401 01J 000,Case,12.00,,,u,_018200001475,Master,23.60,0.00,2018-09-10,2075-12-31
_018200001741,BUD LT LIME-A-RITA 4PK 16Z CN,1051284,1051284,,,,a,401 01A 000,Case,24.00,,,u,_018200001741,Master,37.50,0.00,2015-11-02,2075-12-31
_018200003691,NATTY DADDY 4PK 16z CN,1058069,1058069,,,,a,401 01A 000,Case,24.00,,,u,_018200003691,Master,21.70,0.00,2018-09-10,2075-12-31
_018200003752,BUD ICE 4PK 16z CN,1058006,1058006,,,,a,401 01A 000,Case,24.00,,,u,_018200003752,Master,21.70,0.00,2018-09-10,2075-12-31
_018200004049,LAND SHARK 4PK 16z CN,186065,186065,,,,a,401 01A 000,Case,24.00,,,u,_018200004049,Master,30.15,0.00,2018-09-10,2075-12-31
_018200004049,,,,,,,,,,,,,u,_018200167133,,,,,
_018200004551,BUD 18z LN,1050347,1050347,,,,a,401 01J 000,Case,15.00,,,u,_018200004551,Master,22.00,0.00,2018-09-10,2075-12-31
_018200004568,BUD LT 18z LN,1050348,1050348,,,,a,401 01J 000,Case,15.00,,,u,_018200004568,Master,22.00,0.00,2018-09-10,2075-12-31
_018200004629,BUD ICE 18z LN,1050382,1050382,,,,a,401 01J 000,Case,15.00,,,u,_018200004629,Master,19.90,0.00,2018-09-10,2075-12-31
_018200005060,STELLA ARTOIS 24PK 15z CN,1050854,1050854,,,,a,401 01H 000,Case,24.00,,,u,_018200005060,Master,36.30,0.00,2018-09-10,2075-12-31
_018200005060,,,,,,,,,,,,,u,_018200961854,,,,,
_018200005244,MICHELOB ULTRA 4PK 16Z CN,1058066,1058066,,,,a,401 01A 000,Case,24.00,,,u,_018200005244,Master,30.15,0.00,2018-09-10,2075-12-31
_018200005282,BUSCH ICE 4PK 16z CN,1080531,1080531,,,,a,401 01A 000,Case,24.00,,,u,_018200005282,Master,18.65,0.00,2016-05-12,2075-12-31
_018200005329,HURRICANE HI GRAVTY 4PK 16z CN,163042,163042,,,,a,401 01A 000,Case,24.00,,,u,_018200005329,Master,21.70,0.00,2018-09-10,2075-12-31
_018200005374,BUD 4PK 16z CN,1058039,1058039,,,,a,401 01A 000,Case,24.00,,,u,_018200005374,Master,27.80,0.00,2018-09-10,2075-12-31
_018200005381,BUD LT 4PK 16z CN,1058036,1058036,,,,a,401 01A 000,Case,24.00,,,u,_018200005381,Master,27.80,0.00,2018-09-10,2075-12-31
_018200005428,BUSCH 4PK 16z CN,169731,169731,,,,a,401 01A 000,Case,24.00,,,u,_018200005428,Master,21.70,0.00,2018-09-10,2075-12-31
_018200005428,,,,,,,,,,,,,u,_018200610448,,,,,
_018200005428,,,,,,,,,,,,,u,_182006104484,,,,,
_018200005435,BUSCH LT 4PK 16z CN,192971,192971,,,,a,401 01A 000,Case,24.00,,,u,_018200005435,Master,21.70,0.00,2018-09-10,2075-12-31
_018200005435,,,,,,,,,,,,,u,_018200860447,,,,,
_018200005442,NATURAL LT 4PK 16z CN,181142,181142,,,,a,401 01A 000,Case,24.00,,,u,_018200005442,Master,21.70,0.00,2018-09-10,2075-12-31
_018200005442,,,,,,,,,,,,,u,_018200150449,,,,,
_018200005459,NATURAL ICE 4PK 16z CN,171884,171884,,,,a,401 01A 000,Case,24.00,,,u,_018200005459,Master,21.70,0.00,2018-09-10,2075-12-31
_018200005459,,,,,,,,,,,,,u,_018200270444,,,,,
_018200006463,BUD ICE 6PK 12z LN,23710,23710,,,,a,401 01B 000,Case,24.00,,,u,_018200004902,Master,18.85,0.00,2018-09-10,2075-12-31
_018200006463,,,,,,,,,,,,,u,_018200006463,,,,,
_018200006463,,,,,,,,,,,,,u,_018200873379,,,,,
_018200006470,BUD ICE 12PK 12z CN,23325,23325,,,,a,401 01D 000,Case,24.00,,,u,_018200006470,Master,15.30,0.00,2018-09-10,2075-12-31
_018200007682,BUSCH 12PK 12z LN,59048,59048,,,,a,401 01D 000,Case,24.00,,,u,_018200007682,Master,15.30,0.00,2018-09-10,2075-12-31
_018200007682,,,,,,,,,,,,,u,_018200613609,,,,,
_018200007699,BUD LT 12PK 12z LN.,44692,44692,,,,a,401 01D 000,Case,24.00,,,u,_018200007699,Master,23.40,0.00,2017-09-11,2075-12-31
_018200007699,,,,,,,,,,,,,u,_018200533600,,,,,
_018200007712,BUD 12PK 12z LN.,44694,44694,,,,a,401 01D 000,Case,24.00,,,u,_018200007712,Master,23.40,0.00,2017-09-11,2075-12-31
_018200007712,,,,,,,,,,,,,u,_018200113604,,,,,
_018200007736,BUD LT 6PK 7z LN,13454,13454,,,,a,401 01B 000,Case,24.00,,,u,_018200001918,Master,14.35,0.00,2017-08-09,2075-12-31
_018200007736,,,,,,,,,,,,,u,_018200007736,,,,,
_018200007743,BUD 6PK 7z LN,13444,13444,,,,a,401 01B 000,Case,24.00,,,u,_018200001802,Master,14.35,0.00,2017-08-09,2075-12-31
_018200007743,,,,,,,,,,,,,u,_018200007743,,,,,
_018200008016,BUSCH LT 12PK 12z CN,13461,13461,,,,a,401 01D 000,Case,24.00,,,u,_018200008016,Master,15.30,0.00,2018-09-10,2075-12-31
_018200008016,,,,,,,,,,,,,u,_018200862489,,,,,
_018200008030,BUSCH LT 6PK 12z LN,13460,13460,,,,a,401 01B 000,Case,24.00,,,u,_018200001895,Master,18.85,0.00,2018-09-10,2075-12-31
_018200008030,,,,,,,,,,,,,u,_018200008030,,,,,
_018200008030,,,,,,,,,,,,,u,_018200860232,,,,,
_018200008030,,,,,,,,,,,,,u,_018200860379,,,,,
_018200008184,BUSCH 6PK 12z LN,18944,18944,,,,a,401 01B 000,Case,24.00,,,u,_018200001796,Master,18.85,0.00,2018-09-10,2075-12-31
_018200008184,,,,,,,,,,,,,u,_018200008184,,,,,
_018200008184,,,,,,,,,,,,,u,_018200610363,,,,,
_018200008337,BUD LT 6PK 12z LN,14091,14091,,,,a,401 01B 000,Case,24.00,,,u,_018200001055,Master,25.40,0.00,2018-09-10,2075-12-31
_018200008337,,,,,,,,,,,,,u,_018200001697,,,,,
_018200008337,,,,,,,,,,,,,u,_018200008337,,,,,
_018200008337,,,,,,,,,,,,,u,_018200530364,,,,,
_018200008337,,,,,,,,,,,,,u,_018200531033,,,,,
_018200008337,,,,,,,,,,,,,u,_018200533365,,,,,
_018200008344,BUD 6PK 12z LN,13439,13439,,,,a,401 01B 000,Case,24.00,,,u,_018200001680,Master,25.40,0.00,2018-09-10,2075-12-31
_018200008344,,,,,,,,,,,,,u,_018200008344,,,,,
_018200008344,,,,,,,,,,,,,u,_018200110290,,,,,
_018200008344,,,,,,,,,,,,,u,_018200110368,,,,,
_018200008344,,,,,,,,,,,,,u,_018200114861,,,,,
_018200008559,BUD LT STRAWBERITA 4PK 16Z CN,1058043,1058043,,,,a,401 01A 000,Case,24.00,,,u,_018200008559,Master,37.50,0.00,2015-11-03,2075-12-31
_018200008849,MICHELOB LT 12PK 12z LN,23064,23064,,,,a,401 01D 000,Case,24.00,,,u,_018200008849,Master,26.65,0.00,2018-09-10,2075-12-31
_018200008849,,,,,,,,,,,,,u,_018200432736,,,,,
