ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_000005339853,PAUTZKE EGG GREEN LABEL,1079892,1079892,,,,a,601 34 016,Each,1.00,,,u,_000005339853,Master,4.35,0.00,1900-01-01,2075-12-31
_026691777427,CHICKEN LIVER & BLOOD 10z,128615,128615,,,,a,601 34 016,Each,1.00,,,u,_026691777427,Master,3.35,0.00,1900-01-01,2075-12-31
_026691777731,GREAT SCOTT CHEESE 10Z,1057071,1057071,,,,a,Default,Each,1.00,,,u,_026691777731,Master,3.35,0.00,1900-01-01,2075-12-31
_028632002636,TRILENE LINE 110 YARDS,1079890,1079890,,,,a,601 34 016,Each,1.00,,,u,_028632002636,Master,2.40,0.00,1900-01-01,2075-12-31
_028632002643,TRILENE LINE 110 YARDS #8,1079891,1079891,,,,a,601 34 016,Each,1.00,,,u,_028632002643,Master,2.40,0.00,2016-04-11,2075-12-31
_043171751562,MIKES RED MR. TROUT EGG,1079894,1079894,,,,a,601 34 016,Each,1.00,,,u,_043171751562,Master,2.85,0.00,2016-04-11,2075-12-31
_046295010133,MIKES FL. ORANGE EGG,1079893,1079893,,,,a,601 34 016,Each,1.00,,,u,_046295010133,Master,2.85,0.00,1900-01-01,2075-12-31
_047708703239,ROUND SPLIT SHOT SINKER B,1079881,1079881,,,,a,601 34 016,Each,1.00,,,u,_047708703239,Master,0.90,0.00,1900-01-01,2075-12-31
_047708703246,ROUND SPLIT SHOT SINKER BB,1079882,1079882,,,,a,601 34 016,Each,1.00,,,u,_047708703246,Master,0.90,0.00,2016-04-11,2075-12-31
_047708703253,ROUND SPLIT SHOT SINKER 3,1079883,1079883,,,,a,601 34 016,Each,1.00,,,u,_047708703253,Master,0.90,0.00,2016-04-11,2075-12-31
_047708703260,ROUND SPLIT SHOT SINKER 7,1079886,1079886,,,,a,601 34 016,Each,1.00,,,u,_047708703260,Master,0.90,0.00,2016-04-11,2075-12-31
_047708703277,ROUND SPLIT SHOT SINKER 5,1079885,1079885,,,,a,601 34 016,Each,1.00,,,u,_047708703277,Master,0.90,0.00,2016-04-11,2075-12-31
_047708704847,ROUND SPLIT SHOT ASST,1079888,1079888,,,,a,601 34 016,Each,1.00,,,u,_047708704847,Master,1.50,0.00,1900-01-01,2075-12-31
_047708706636,POLY CORD STRINGER 9FT,1079887,1079887,,,,a,601 34 016,Each,1.00,,,u,_047708706636,Master,0.90,0.00,2016-04-11,2075-12-31
_047708706667,46'' 9 SNAP CHAIN STRINGER,1079889,1079889,,,,a,601 34 016,Each,1.00,,,u,_047708706667,Master,1.50,0.00,2016-04-11,2075-12-31
_2055400104,F7684 REBEL CRAWFISH,1079966,1079966,,,,a,601 34 016,Each,1.00,,,u,_020554001049,Master,5.00,0.00,2016-04-14,2075-12-31
_2055400108,F7767 REBEL CRAWFISH,1079959,1079959,,,,a,601 34 016,Each,1.00,,,u,_020554001087,Master,5.00,0.00,2016-04-14,2075-12-31
_2055400109,F7775 REBEL CRAWFISH,1079963,1079963,,,,a,601 34 016,Each,1.00,,,u,_020554001094,Master,5.00,0.00,2016-04-14,2075-12-31
_2055400817,F7701 REBEL CRAWFISH,1079956,1079956,,,,a,601 34 016,Each,1.00,,,u,_020554008178,Master,5.00,0.00,1900-01-01,2075-12-31
_2055401131,J4902 REBEL MINNOW,1079967,1079967,,,,a,601 34 016,Each,1.00,,,u,_020554011314,Master,5.00,0.00,2016-04-14,2075-12-31
_2055401132,J4903 REBEL MINNOW,1079968,1079968,,,,a,601 34 016,Each,1.00,,,u,_020554011321,Master,5.00,0.00,2016-04-14,2075-12-31
_2055405648,F7756 REBEL CRAWFISH,1079962,1079962,,,,a,601 34 016,Each,1.00,,,u,_020554056483,Master,5.00,0.00,2016-04-14,2075-12-31
_2202154349,CITATION COMBO,1079930,1079930,,,,a,601 34 016,Each,1.00,,,u,_022021543496,Master,13.00,0.00,1900-01-01,2075-12-31
_2614810138,JOES FLIES,1079927,1079927,,,,a,601 34 016,Each,1.00,,,u,_026148101317,Master,2.45,0.00,1900-01-01,2075-12-31
_2614810138,,,,,,,,,,,,,u,_026148101386,,,,,
_2614810138,,,,,,,,,,,,,u,_026148101430,,,,,
_2614810138,,,,,,,,,,,,,u,_026148101638,,,,,
_2614810138,,,,,,,,,,,,,u,_026148101690,,,,,
_2614810138,,,,,,,,,,,,,u,_026148101812,,,,,
_2669177771,KINGKAT BLOOD BT 10z,128610,128610,,,,a,601 34 016,Each,1.00,,,u,_026691777717,Master,3.35,0.00,1900-01-01,2075-12-31
_2669177772,OLD WHISKERS BLOOD,128609,128609,,,,a,601 34 016,Each,1.00,,,u,_026691777724,Master,3.30,0.00,1900-01-01,2075-12-31
_2863200262,TRILENE LINE 110 YARDS 4#,1079932,1079932,,,,a,601 34 016,Each,1.00,,,u,_028632002629,Master,2.40,0.00,1900-01-01,2075-12-31
_2863200265,TRILENE LINE 110 YARDS #10,1079931,1079931,,,,a,601 34 016,Each,1.00,,,u,_028632002650,Master,3.10,0.00,1900-01-01,2075-12-31
_2863203236,BERKLEY POWER BAIT 1.75Z,1079928,1079928,,,,a,601 34 016,Each,1.00,,,u,_028632022757,Master,3.30,0.00,1900-01-01,2075-12-31
_2863203236,,,,,,,,,,,,,u,_028632025017,,,,,
_2863203236,,,,,,,,,,,,,u,_028632025024,,,,,
_2863203236,,,,,,,,,,,,,u,_028632032367,,,,,
_2863203236,,,,,,,,,,,,,u,_028632046241,,,,,
_2863203236,,,,,,,,,,,,,u,_028632094518,,,,,
_2863223815,BERKLEY POWER BAIT,1079923,1079923,,,,a,601 34 016,Each,1.00,,,u,_028632238141,Master,3.30,0.00,1900-01-01,2075-12-31
_2863223815,,,,,,,,,,,,,u,_028632238158,,,,,
_3225601707,BOMBER LURES,1079995,1079995,,,,a,601 34 016,Each,1.00,,,u,_032256017075,Master,5.50,0.00,1900-01-01,2075-12-31
_3225601707,,,,,,,,,,,,,u,_032256017754,,,,,
_3225601770,BOMBER LURES,1079925,1079925,,,,a,601 34 016,Each,1.00,,,u,_032256017709,Master,5.50,0.00,1900-01-01,2075-12-31
_3225601770,,,,,,,,,,,,,u,_032256220840,,,,,
_3936466135,C/ZOOKID-AST,1079996,1079996,,,,a,601 34 016,Each,1.00,,,u,_039364661350,Master,10.00,0.00,1900-01-01,2075-12-31
_429650115,ROOSTER TAIL 208,1079926,1079926,,,,a,601 34 016,Each,1.00,,,u,_042965004495,Master,3.00,0.00,1900-01-01,2075-12-31
_429650115,,,,,,,,,,,,,u,_042965004556,,,,,
_429650115,,,,,,,,,,,,,u,_042965004631,,,,,
_429650115,,,,,,,,,,,,,u,_042965011158,,,,,
_4296541097,ROOSTER TAIL,1079981,1079981,,,,a,601 34 016,Each,1.00,,,u,_042965005034,Master,3.00,0.00,1900-01-01,2075-12-31
_4296541097,,,,,,,,,,,,,u,_042965389653,,,,,
_4296541097,,,,,,,,,,,,,u,_042965410777,,,,,
_4296541097,,,,,,,,,,,,,u,_042965410876,,,,,
_4296541097,,,,,,,,,,,,,u,_042965410975,,,,,
_4317895712,DAIWA D-TURBO COMBO,1079982,1079982,,,,a,601 34 016,Each,1.00,,,u,_043178957127,Master,21.00,0.00,1900-01-01,2075-12-31
_4317895880,DAIWA D-SHOCK COMBO MED,1079983,1079983,,,,a,601 34 016,Each,1.00,,,u,_043178956809,Master,21.00,0.00,2016-04-14,2075-12-31
_4317895880,,,,,,,,,,,,,u,_043178958803,,,,,
_4338824790,AMPHIBIAN SPINNING COMBO,1079985,1079985,,,,a,601 34 016,Each,1.00,,,u,_043388247902,Master,19.00,0.00,1900-01-01,2075-12-31
_4338829490,CRUSADER COMBO,1079924,1079924,,,,a,601 34 016,Each,1.00,,,u,_043388294906,Master,17.00,0.00,1900-01-01,2075-12-31
_4338830426,NAVIGATOR SPINNING,1079987,1079987,,,,a,601 34 016,Each,1.00,,,u,_043388304261,Master,15.00,0.00,2016-04-14,2075-12-31
_4338830595,NAVIGATOR SPINCAST,1079986,1079986,,,,a,601 34 016,Each,1.00,,,u,_043388305954,Master,15.00,0.00,1900-01-01,2075-12-31
_4629501000,MIKES SRIMP EGG 2Z,1079900,1079900,,,,a,601 34 016,Each,1.00,,,u,_046295010003,Master,2.85,0.00,1900-01-01,2075-12-31
_4629501035,MIKES PINK GARLIC EGG,1079901,1079901,,,,a,601 34 016,Each,1.00,,,u,_046295010355,Master,2.85,0.00,2016-04-12,2075-12-31
_4770800062,BAIT 032 #2,1079934,1079934,,,,a,601 34 016,Each,1.00,,,u,_047708000628,Master,1.50,0.00,1900-01-01,2075-12-31
_4770800064,BAIT 032 #4,1079935,1079935,,,,a,601 34 016,Each,1.00,,,u,_047708000642,Master,1.50,0.00,2016-04-13,2075-12-31
_4770800066,BAIT 032 #6,1079936,1079936,,,,a,601 34 016,Each,1.00,,,u,_047708000666,Master,1.50,0.00,2016-04-13,2075-12-31
_4770800067,BAIT 032 #8,1079937,1079937,,,,a,601 34 016,Each,1.00,,,u,_047708000673,Master,1.50,0.00,2016-04-13,2075-12-31
_4770800068,BAIT 032 #10,1079938,1079938,,,,a,601 34 016,Each,1.00,,,u,_047708000680,Master,1.50,0.00,2016-04-13,2075-12-31
_4770811276,PLAIN SHANK HOOK SZ 1,1080084,1080084,,,,a,601 34 016,Each,1.00,,,u,_047708112765,Master,1.50,0.00,2016-04-20,2075-12-31
_4770811277,PLAIN SHANK HOOK SZ 2,1080083,1080083,,,,a,601 34 016,Each,1.00,,,u,_047708112772,Master,1.50,0.00,2016-04-20,2075-12-31
_4770811279,PLAIN SHANK HOOK SZ 4,1080082,1080082,,,,a,601 34 016,Each,1.00,,,u,_047708112796,Master,1.50,0.00,2016-04-20,2075-12-31
_4770811280,PLAIN SHANK HOOK SZ 6,1080081,1080081,,,,a,601 34 016,Each,1.00,,,u,_047708112802,Master,1.50,0.00,2016-04-20,2075-12-31
_4770811282,PLAIN SHANK HOOK,1079482,1079482,,,,a,601 34 016,Each,1.00,,,u,_047708112826,Master,1.50,0.00,1900-01-01,2075-12-31
_4770870311,REM SPLIT SHOT SINKER BB,1079902,1079902,,,,a,601 34 016,Each,1.00,,,u,_047708703116,Master,0.90,0.00,2016-04-12,2075-12-31
_4770870312,EAGLE CLAW REMOVEABLE SPLIT SHOT SZ 3/0,1057043,1057043,,,,a,601 34 016,Each,1.00,,,u,_047708703123,Master,0.90,0.00,2016-04-12,2075-12-31
_4770870313,EAGLE CLAW REMOVEABLE SPLIT SHOT SZ 7,1057042,1057042,,,,a,601 34 016,Each,1.00,,,u,_047708703130,Master,0.90,0.00,1900-01-01,2075-12-31
_4770870314,EAGLE CLAW REMOVEABLE SPLIT SHOT SZ 5,1057041,1057041,,,,a,601 34 016,Each,1.00,,,u,_047708703147,Master,0.90,0.00,1900-01-01,2075-12-31
_4770870315,EAGLE CLAW REMOVEABLE SPLIT SHOT SZ 4,1057040,1057040,,,,a,601 34 016,Each,1.00,,,u,_047708703154,Master,0.90,0.00,1900-01-01,2075-12-31
_4770870316,EAGLE CLAW REMOVEABLE SPLIT SHOT SZ 3,1057039,1057039,,,,a,601 34 016,Each,1.00,,,u,_047708703161,Master,0.90,0.00,1900-01-01,2075-12-31
_4770870317,EAGLE CLAW REMOVEABLE SPLIT SHOT SZ 2,1057038,1057038,,,,a,601 34 016,Each,1.00,,,u,_047708703178,Master,0.90,0.00,1900-01-01,2075-12-31
_4770870515,FLOATS 1IN,1079917,1079917,,,,a,601 34 016,Each,1.00,,,u,_047708705158,Master,0.90,0.00,2016-04-13,2075-12-31
_4770870516,FLOATS 1.25IN,1079916,1079916,,,,a,601 34 016,Each,1.00,,,u,_047708705165,Master,0.90,0.00,2016-04-13,2075-12-31
_5429612038,SOUTHERN BELLE CRANK 2.5,1079993,1079993,,,,a,601 34 016,Each,1.00,,,u,_654296120388,Master,3.50,0.00,2016-04-14,2075-12-31
_5429632014,HAWK CRANK 2.5,1079989,1079989,,,,a,601 34 016,Each,1.00,,,u,_654296320146,Master,3.50,0.00,1900-01-01,2075-12-31
_5429687317,RAINBOW CRANK 2.5,1079990,1079990,,,,a,601 34 016,Each,1.00,,,u,_654296873178,Master,3.50,0.00,2016-04-14,2075-12-31
_5429687318,BROWN TROUT CRANK 2.5,1079991,1079991,,,,a,601 34 016,Each,1.00,,,u,_654296873185,Master,3.50,0.00,2016-04-14,2075-12-31
_5429687318,,,,,,,,,,,,,u,_654296873208,,,,,
_654296320160,ZG TROUT CRANK 2.5,1079992,1079992,,,,a,601 34 016,Each,1.00,,,u,_654296320160,Master,3.50,0.00,2016-04-14,2075-12-31
_65429687660,TROUT MAGNET,1079933,1079933,,,,a,601 34 016,Each,1.00,,,u,_654296876605,Master,1.50,0.00,1900-01-01,2075-12-31
_65429687660,,,,,,,,,,,,,u,_654296876735,,,,,
_65429687660,,,,,,,,,,,,,u,_654296876797,,,,,
_65429687660,,,,,,,,,,,,,u,_654296876865,,,,,
_65429687660,,,,,,,,,,,,,u,_654296876889,,,,,
_89050900100,NIGHTCRAWLERS 12 PER CUP,1079939,1079939,,,,a,601 34 016,Each,1.00,,,u,_890509001000,Master,1.70,0.00,1900-01-01,2075-12-31
_89050900104,CHARTREUSE NIGHTCRAWLERS,1079952,1079952,,,,a,601 34 016,Each,1.00,,,u,_890509001048,Master,2.40,0.00,1900-01-01,2075-12-31
_89050900105,NIGHTCRAWLERS 24 PER CUP,1079940,1079940,,,,a,601 34 016,Each,1.00,,,u,_890509001055,Master,3.30,0.00,1900-01-01,2075-12-31
_9050900101,MEALWORMS 18 PER CUP,1079951,1079951,,,,a,601 34 016,Each,1.00,,,u,_890509001017,Master,1.70,0.00,1900-01-01,2075-12-31
_9050900102,WAXWORMS 18 PER CUP,1079950,1079950,,,,a,601 34 016,Each,1.00,,,u,_890509001024,Master,1.70,0.00,2016-04-14,2075-12-31
_9050900103,REDWORMS 18 PER CUP,1079949,1079949,,,,a,601 34 016,Each,1.00,,,u,_890509001031,Master,1.70,0.00,1900-01-01,2075-12-31
_9050900106,LITTLE DEUCE HELLGRAMMITE,1079953,1079953,,,,a,601 34 016,Each,1.00,,,u,_890509001062,Master,1.75,0.00,1900-01-01,2075-12-31
_9050900106,,,,,,,,,,,,,u,_890509001079,,,,,
_9050900106,,,,,,,,,,,,,u,_890509001086,,,,,
_9473307589,HOTHANDS HANDWARMERS,40643,40643,,,,a,601 27 400 Winter General Item,Each,1.00,,,u,_094733075893,Master,0.85,0.00,1900-01-01,2075-12-31
_9964400001,FISHING STIX COLORED,1079988,1079988,,,,a,601 34 016,Each,1.00,,,u,_899644000015,Master,2.84,0.00,1900-01-01,2075-12-31
