ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_034100003234,REDDS WICKED ALE 24z CN,1056698,1056698,,,,a,401 01J 000,Case,12.00,,,u,_034100003234,Master,18.50,0.00,1900-01-01,2075-12-31
_034100003425,REDDS WICKED ALE 12PK 10z CN,1056699,1056699,,,,a,401 01D 000,Case,24.00,,,u,_034100003425,Master,22.10,0.00,2018-07-03,2075-12-31
_034100003494,REDDS WICKED WATERMELON 24z CN,1064562,1064562,,,,a,401 01J 000,Case,12.00,,,u,_034100003494,Master,18.50,0.00,1900-01-01,2075-12-31
_034100003876,REDDS WICKED BLK CHRY 24z CN,1070543,1070543,,,,a,401 01J 000,Case,12.00,,,u,_034100003876,Master,18.50,0.00,1900-01-01,2075-12-31
_034100003937,REDDS WICKED SSL 24z CN,1081294,1081294,,,,a,401 01J 000,Case,12.00,,,u,_034100003937,Master,18.50,0.00,1900-01-01,2075-12-31
_034100007683,ICEHOUSE EDGE 24z CN,1051056,1051056,,,,a,Default,Case,12.00,,,u,_034100007683,Master,11.95,0.00,1900-01-01,2075-12-31
_034100008567,REDDS WICKED LEMONADE 24Z CN,1087852,1087852,,,,a,401 01J 000,Case,12.00,,,u,_034100008567,Master,18.50,0.00,1900-01-01,2075-12-31
_034100087166,REDDS APPLE ALE 6PK 12z LN,1052617,1052617,,,,a,401 01B 000,Case,24.00,,,u,_034100087166,Master,25.00,0.00,2018-11-01,2075-12-31
_034100087166,,,,,,,,,,,,,u,_034100087173,,,,,
_034100087180,REDDS APPLE ALE 12PK 12z CN,1053782,1053782,,,,a,401 01D 000,Case,24.00,,,u,_034100087180,Master,22.40,0.00,2018-12-02,2075-12-31
_034100087227,REDDS APPLE ALE 12PK 12z LN,1055292,1055292,,,,a,401 01D 000,Case,24.00,,,u,_034100087227,Master,25.95,0.00,2018-11-01,2075-12-31
_034100087302,REDDS PEACH ALE 6PK 12z LN,1054188,1054188,,,,a,Default,Case,24.00,,,u,_034100087302,Master,25.00,0.00,2018-11-01,2075-12-31
_034100087463,REDDS BLUEBERRY 6PK 12z LN,1064593,1064593,,,,a,401 01B 000,Case,24.00,,,u,_034100087463,Master,25.00,0.00,2018-11-01,2075-12-31
_034100516659,HENRYS HARD SPKLG PSSN FRT 6PK 12Z CN,32000255,32000255,,,,a,Default,Case,24.00,,,u,_034100516659,Master,27.10,0.00,1900-01-01,2075-12-31
_034100809027,HAMMS 12PK 12z CN,16803,16803,,,,a,401 01D 000,Case,24.00,,,u,_022100185005,Master,8.90,0.00,2018-11-01,2075-12-31
_034100809027,,,,,,,,,,,,,u,_034100809027,,,,,
_034100989163,HENRYS HARD ORANGE 6PK 12z LN,1077155,1077155,,,,a,401 01B 000,Case,24.00,,,u,_034100989163,Master,29.00,0.00,2018-11-01,2075-12-31
_034100989309,REDDS APPLE SSL 6PK 12z LN,1077159,1077159,,,,a,401 01B 000,Case,24.00,,,u,_034100989309,Master,25.00,0.00,2018-11-01,2075-12-31
_070310012444,SEAGRAMS VARIETY 12PK 12z CN,1068394,1068394,,,,a,401 01D 000,Case,24.00,,,u,_070310012444,Master,23.20,0.00,2018-02-27,2075-12-31
_070310012512,SEAGRAMS JAMAICANMEHAPPY 23.5z CN,1081798,1081798,,,,a,401 01J 000,Case,12.00,,,u,_070310012512,Master,17.00,0.00,2018-02-27,2075-12-31
_070310014837,SEAGRAMS SPIKED JAMAICANMEHAPPY 23.5z CN,1085486,1085486,,,,a,Default,Case,12.00,,,u,_070310014837,Master,22.00,0.00,2018-07-03,2075-12-31
_070310014844,SEAGRAMS SPIKED STRWBRY DAQUIRI 23.5z CN,1085487,1085487,,,,a,Default,Case,12.00,,,u,_070310014844,Master,22.00,0.00,1900-01-01,2075-12-31
_072311321242,DOS EQUIS 24Z CN,1050336,1050336,,,,a,Default,Case,12.00,,,u,_072311321242,Master,24.00,0.00,1900-01-01,2075-12-31
_072311630122,DOS EQUIS LAGR 6PK 12z LN,58098,58098,,,,a,Default,Case,24.00,,,u,_072311130127,Master,28.78,0.00,1900-01-01,2075-12-31
_072311630122,,,,,,,,,,,,,u,_072311630122,,,,,
_072890000118,HEINEKEN 6PK 12z LN,15260,15260,,,,a,Default,Case,24.00,,,u,_072890000019,Master,31.00,0.00,1900-01-01,2075-12-31
_072890000118,,,,,,,,,,,,,u,_072890000118,,,,,
_072890000118,,,,,,,,,,,,,u,_072890000217,,,,,
_072890000163,HEINEKEN 12PK 12z LN,41600,41600,,,,a,Default,Case,24.00,,,u,_072890000163,Master,28.00,0.00,1900-01-01,2075-12-31
_072890001191,HEINEKEN 24z CN,134515,134515,,,,a,Default,Case,12.00,,,u,_072890001191,Master,26.80,0.00,1900-01-01,2075-12-31
_072890001580,HEINEKEN LT 6PK 12z LN,164006,164006,,,,a,Default,Case,24.00,,,u,_072890001580,Master,31.00,0.00,1900-01-01,2075-12-31
_072890004789,HEINEKEN 22z LN,1052716,1052716,,,,a,Default,Case,12.00,,,u,_072890004789,Master,26.80,0.00,1900-01-01,2075-12-31
_078250006332,STEEL RESERVE SPIKED TROPICAL STORM 24Z CN,1097314,1097314,,,,a,Default,Case,12.00,,,u,_078250006332,Master,13.45,0.00,1900-01-01,2075-12-31
_078250006332,,,,,,,,,,,,,u,_078250006356,,,,,
_34100000059,MILLER HL 24z CN,89317,89317,,,,a,Default,Case,12.00,,,u,_034100000059,Master,10.10,0.00,1900-01-01,2075-12-31
_34100000059,,,,,,,,,,,,,u,_034100013462,,,,,
_34100000059,,,,,,,,,,,,,u,_341000000592,,,,,
_34100000073,MILLER HL 6PK 16z CN,13482,13482,,,,a,Default,Case,24.00,,,u,_034100000073,Master,18.20,0.00,2018-12-02,2075-12-31
_34100000073,,,,,,,,,,,,,u,_341000000738,,,,,
_34100001797,MICKEYS 6PK 12z LN,22850,22850,,,,a,Default,Case,24.00,,,u,_034100773458,Master,16.10,0.00,1900-01-01,2075-12-31
_34100001797,,,,,,,,,,,,,u,_034100774356,,,,,
_34100001797,,,,,,,,,,,,,u,_073360446665,,,,,
_34100001797,,,,,,,,,,,,,u,_341000017972,,,,,
_34100003548,MILLER LT 6PK 12z CN,14094,14094,,,,a,Default,Case,24.00,,,u,_034100003340,Master,18.20,0.00,1900-01-01,2075-12-31
_34100003548,,,,,,,,,,,,,u,_034100003548,,,,,
_34100003548,,,,,,,,,,,,,u,_341000035488,,,,,
_34100003555,MILLER LT 24z CN,38387,38387,,,,a,Default,Case,12.00,,,u,_034100003555,Master,15.15,0.00,1900-01-01,2075-12-31
_34100003555,,,,,,,,,,,,,u,_341000035556,,,,,
_34100003579,MILLER LT 6PK 16z CN,13487,13487,,,,a,Default,Case,24.00,,,u,_034100003579,Master,21.30,0.00,2018-12-02,2075-12-31
_34100003579,,,,,,,,,,,,,u,_341000035792,,,,,
_34100003760,MILLER LT 16z ALUM (LOOSE),183796,183796,,,,a,Default,Case,24.00,,,u,_034100003760,Master,26.90,0.00,2018-12-02,2075-12-31
_34100003760,,,,,,,,,,,,,u,_341000037604,,,,,
_34100006129,OLD ENGLISH 800 24z CN,87488,87488,,,,a,Default,Case,12.00,,,u,_034100006129,Master,10.10,0.00,1900-01-01,2075-12-31
_34100006129,,,,,,,,,,,,,u,_341000061296,,,,,
_34100008802,ICEHOUSE 24z CN,38006,38006,,,,a,Default,Case,12.00,,,u,_034100008802,Master,11.95,0.00,1900-01-01,2075-12-31
_34100008802,,,,,,,,,,,,,u,_034100623463,,,,,
_34100008802,,,,,,,,,,,,,u,_341000088026,,,,,
_34100015091,MILLER HL 12PK 12z LN,15745,15745,,,,a,Default,Case,24.00,,,u,_034100015091,Master,14.40,0.00,1900-01-01,2075-12-31
_34100015091,,,,,,,,,,,,,u,_341000150914,,,,,
_34100036362,MILLER HL 12PK 12z CN,13481,13481,,,,a,Default,Case,24.00,,,u,_034100016029,Master,14.00,0.00,1900-01-01,2075-12-31
_34100036362,,,,,,,,,,,,,u,_034100016364,,,,,
_34100036362,,,,,,,,,,,,,u,_341000363628,,,,,
_34100516055,LEINENK SSL SHANDY 6PK 12z LN,1052645,1052645,,,,a,Default,Case,24.00,,,u,_034100516055,Master,29.00,0.00,2018-12-02,2075-12-31
_34100516055,,,,,,,,,,,,,u,_341005160550,,,,,
_34100516215,HENRYS HARD GRAPE 6PK 12z LN,1083017,1083017,,,,a,Default,Case,24.00,,,u,_034100516215,Master,27.75,0.00,1900-01-01,2075-12-31
_34100516215,,,,,,,,,,,,,u,_341005162158,,,,,
_34100516437,MILLER LT 8PK 16Z CN,1084724,1084724,,,,a,Default,Case,24.00,,,u,_034100516437,Master,18.00,0.00,1900-01-01,2075-12-31
_34100516437,,,,,,,,,,,,,u,_341005164374,,,,,
_34100516451,LEINENK SSL SHANDY 24z CN,1086031,1086031,,,,a,Default,Case,12.00,,,u,_034100516451,Master,20.20,0.00,1900-01-01,2075-12-31
_34100516451,,,,,,,,,,,,,u,_341005164510,,,,,
_34100570231,MILLER LT 9PK 16z ALUM,178825,178825,,,,a,Default,Case,18.00,,,u,_034100570224,Master,19.35,0.00,1900-01-01,2075-12-31
_34100570231,,,,,,,,,,,,,u,_034100570231,,,,,
_34100570231,,,,,,,,,,,,,u,_341005702316,,,,,
_34100573126,MILLER LT 24PK 8z CN,1057809,1057809,,,,a,Default,Case,24.00,,,u,_034100573126,Master,9.80,0.00,1900-01-01,2075-12-31
_34100573126,,,,,,,,,,,,,u,_034100573140,,,,,
_34100573126,,,,,,,,,,,,,u,_341005731262,,,,,
_34100575052,MILLER LT 6PK 12z LN,43591,43591,,,,a,Default,Case,24.00,,,u,_034100000301,Master,20.15,0.00,2018-12-02,2075-12-31
_34100575052,,,,,,,,,,,,,u,_034100003623,,,,,
_34100575052,,,,,,,,,,,,,u,_034100575052,,,,,
_34100575052,,,,,,,,,,,,,u,_034100925055,,,,,
_34100575052,,,,,,,,,,,,,u,_341005750522,,,,,
_34100575090,MILLER LT 12PK 12z LN,75051,75051,,,,a,Default,Case,24.00,,,u,_034100575090,Master,18.50,0.00,1900-01-01,2075-12-31
_34100575090,,,,,,,,,,,,,u,_341005750904,,,,,
_34100576363,MILLER LT 12PK 12z CN,13485,13485,,,,a,Default,Case,24.00,,,u,_034100576028,Master,16.45,0.00,1900-01-01,2075-12-31
_34100576363,,,,,,,,,,,,,u,_034100576363,,,,,
_34100576363,,,,,,,,,,,,,u,_341005763638,,,,,
_34100576530,MILLER LT 12PK 16z CN,167487,167487,,,,a,Default,Case,24.00,,,u,_034100576530,Master,18.00,0.00,1900-01-01,2075-12-31
_34100576530,,,,,,,,,,,,,u,_341005765304,,,,,
_34100786502,LEINENK SMMR SMPLR 12PK 12z CN,191663,191663,,,,a,Default,Case,24.00,,,u,_034100786502,Master,27.10,0.00,2018-12-02,2075-12-31
_34100786502,,,,,,,,,,,,,u,_341007865026,,,,,
_34100786588,LEINENK GRAPEFRUIT SHANDY 6PK 12z LN,1065383,1065383,,,,a,Default,Case,24.00,,,u,_034100786588,Master,29.00,0.00,2018-12-02,2075-12-31
_34100786588,,,,,,,,,,,,,u,_341007865880,,,,,
_34100899028,OLDE ENGLISH 12pk 12z cn,1097626,1097626,,,,a,Default,Case,24.00,,,u,_341008990284,Master,9.70,0.00,1900-01-01,2075-12-31
_613008748296,ARNOLD PALMER SPIKED HALF AND HALF 24z CN,1086033,1086033,,,,a,401 01J 000,Case,12.00,,,u,_613008748296,Master,20.20,0.00,2018-02-27,2075-12-31
_613008748333,ARNOLD PALMER SLIM 6PK 12z CN,1088186,1088186,,,,a,401 01B 000,Case,24.00,,,u,_613008748326,Master,23.80,0.00,1900-01-01,2075-12-31
_613008748333,,,,,,,,,,,,,u,_613008748333,,,,,
_642860130246,FOUNDERS ALL DAY IPA 19.2Z CN,1082981,1082981,,,,a,401 01J 000,Case,24.00,,,u,_642860130246,Master,29.00,0.00,2018-02-27,2075-12-31
_642860900245,FOUNDERS ALL DAY IPA 15PK 12z CN,1081703,1081703,,,,a,401 01E 000,Case,15.00,,,u,_642860900245,Master,14.50,0.00,1900-01-01,2075-12-31
_70897013315,FOSTERS 25.4z CN,15254,15254,,,,a,Default,Case,12.00,,,u,_070897013315,Master,20.20,0.00,1900-01-01,2075-12-31
_70897013315,,,,,,,,,,,,,u,_070897018044,,,,,
_70897013315,,,,,,,,,,,,,u,_708970133154,,,,,
_78250003287,STEEL RESERVE 24z CN,93560,93560,,,,a,Default,Case,12.00,,,u,_078250003287,Master,10.10,0.00,1900-01-01,2075-12-31
_78250003287,,,,,,,,,,,,,u,_078250003294,,,,,
_78250003287,,,,,,,,,,,,,u,_782500032872,,,,,
_78250006059,STEEL RESERVE BLACKBERRY 24z CN,1054328,1054328,,,,a,Default,Case,12.00,,,u,_078250006059,Master,13.45,0.00,1900-01-01,2075-12-31
_78250006059,,,,,,,,,,,,,u,_782500060592,,,,,
_78250006103,STEEL RESERVE SPIKED PUNCH 24z CN,1056908,1056908,,,,a,Default,Case,12.00,,,u,_078250006103,Master,13.45,0.00,1900-01-01,2075-12-31
_78250006103,,,,,,,,,,,,,u,_782500061032,,,,,
_78250006141,STEEL RESERVE PINEAPPLE 24z CN,1064598,1064598,,,,a,Default,Case,12.00,,,u,_078250006141,Master,13.45,0.00,1900-01-01,2075-12-31
_78250006141,,,,,,,,,,,,,u,_782500061414,,,,,
_782500061896,STEEL RESERVE SPIKED WTMLN 24z CN,1083018,1083018,,,,a,Default,Case,12.00,,,u,_078250006189,Master,13.45,0.00,1900-01-01,2075-12-31
_782500061896,,,,,,,,,,,,,u,_782500061896,,,,,
_78250006271,STEEL RESERVE BLUE RASPBERRY 24z CN,1085515,1085515,,,,a,Default,Case,12.00,,,u,_078250006271,Master,13.45,0.00,2018-12-19,2075-12-31
_78250006271,,,,,,,,,,,,,u,_078250006288,,,,,
_78250006271,,,,,,,,,,,,,u,_782500062718,,,,,
_859170005014,FAT HEADS HEAD HUNTER IPA 4PK 12z LN,1068693,1068693,,,,a,401 01A 000,Case,24.00,,,u,_859170005014,Master,34.50,0.00,2018-02-27,2075-12-31
