ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_041262270213,XTRA CHEESY DOODLE,1087803,1087803,,,,a,601 04A 000,Each,1.00,,,u,_041262270213,Master,1.44,0.00,1900-01-01,2075-12-31
_041262270237,BRAVO STADIUM NACHO,1087801,1087801,,,,a,601 04A 000,Each,1.00,,,u,_041262270237,Master,1.44,0.00,1900-01-01,2075-12-31
_041262272606,WISE X-LC BUTTER POPCORN,1088006,1088006,,,,a,601 04A 000,Each,1.00,,,u,_041262272606,Master,1.04,0.00,1900-01-01,2075-12-31
_041262273481,WISE HONEY BBQ PUFFED DOODLES,1088005,1088005,,,,a,601 04A 410,Each,1.00,,,u,_041262273481,Master,0.74,0.00,1900-01-01,2075-12-31
_041262273979,BRAVO NACHO CHEESE,1087800,1087800,,,,a,601 04A 000,Each,1.00,,,u,_041262273979,Master,1.44,0.00,1900-01-01,2075-12-31
_041262273986,BRAVO SALSA VERDE ROUND TORT,1087802,1087802,,,,a,601 04A 000,Each,1.00,,,u,_041262273986,Master,1.44,0.00,1900-01-01,2075-12-31
_04126227409,ONION & GRLIC CHIP,1087804,1087804,,,,a,601 04A 000,Each,1.00,,,u,_041262274099,Master,1.44,0.00,1900-01-01,2075-12-31
_041262274136,LIGHTLY SALTED POTATO CHIP,1087805,1087805,,,,a,601 04A 000,Each,1.00,,,u,_041262274136,Master,1.44,0.00,1900-01-01,2075-12-31
_4126227113,WISE X-CL GOLDEN ORIG CHIPS 2.875z,1079620,1079620,,,,a,601 04A 000,Each,1.00,,,u,_041262271135,Master,1.09,0.00,1900-01-01,2075-12-31
_4126227116,WISE X-LC HONEY BBQ CHIPS 2.875z,1079621,1079621,,,,a,601 04A 000,Each,1.00,,,u,_041262271166,Master,1.09,0.00,1900-01-01,2075-12-31
_4126227117,WISE X-LC ONION & GARLIC CHIPS 2.875z,1079622,1079622,,,,a,601 04A 000,Each,1.00,,,u,_041262271173,Master,1.09,0.00,1900-01-01,2075-12-31
_4126227120,WISE X-LC ORIG RIDGIES 2.875z,1079623,1079623,,,,a,601 04A 000,Each,1.00,,,u,_041262271203,Master,1.09,0.00,1900-01-01,2075-12-31
_4126227125,WISE X-LC CHDR & SC RIDGIES 2.875z,1079624,1079624,,,,a,601 04A 000,Each,1.00,,,u,_041262271258,Master,1.09,0.00,1900-01-01,2075-12-31
_4126227127,WISE X-LC SC & ONION RIDGIES 2.875z,1079625,1079625,,,,a,601 04A 000,Each,1.00,,,u,_041262271272,Master,1.09,0.00,1900-01-01,2075-12-31
_4126227128,WISE X-LC WHITE CHDR POPCORN 2.875z,1079626,1079626,,,,a,601 04A 000,Each,1.00,,,u,_041262271289,Master,1.09,0.00,1900-01-01,2075-12-31
_4126227129,WISE X-LC BUTTER POPCORN 2.875z,1079627,1079627,,,,a,601 04A 000,Each,1.00,,,u,_041262271296,Master,1.09,0.00,1900-01-01,2075-12-31
_4126227135,WISE X-LC HOT CHEESE POPCORN 2.875z,1079628,1079628,,,,a,601 04A 000,Each,1.00,,,u,_041262271357,Master,1.09,0.00,1900-01-01,2075-12-31
_4126227141,WISE X-LC ONION RINGS 2.5z,1079629,1079629,,,,a,601 04A 000,Each,1.00,,,u,_041262271418,Master,1.09,0.00,1900-01-01,2075-12-31
_4126227151,WISE LOADED CHILI CHEESE DOG CHIPS 6.5z,1079641,1079641,,,,a,601 04A 000,Each,1.00,,,u,_041262271517,Master,1.44,0.00,1900-01-01,2075-12-31
_4126227167,WISE BEEF BARBACOA TACOS CHIPS 6.5z,1079642,1079642,,,,a,601 04A 000,Each,1.00,,,u,_041262271678,Master,1.44,0.00,1900-01-01,2075-12-31
_4126227175,WISE BUTTER POPCORN 2.5z,1066043,1066043,,,,a,601 04A 000,Each,1.00,,,u,_041262271753,Master,0.74,0.00,1900-01-01,2075-12-31
_4126227178,WISE CHEEZ DOODLES MIX 6z,1079652,1079652,,,,a,601 04A 000,Each,1.00,,,u,_041262271784,Master,1.44,0.00,1900-01-01,2075-12-31
