ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_2933302802,STRINGER,1053895,1053895,,,,a,601 34 016,Each,1.00,,,u,_029333028024,Master,1.05,0.00,2013-05-29,2075-12-31
_2933305040,BOX SINKERS,1053894,1053894,,,,a,601 34 016,Each,1.00,,,u,_029333050407,Master,2.10,0.00,1900-01-01,2075-12-31
_2933305061,HOOKS BRONZE SIZE 2,1053896,1053896,,,,a,601 34 016,Each,1.00,,,u,_029333050612,Master,1.32,0.00,2013-05-29,2075-12-31
_2933305062,HOOKS BRONZE SIZE 4,1053897,1053897,,,,a,601 34 016,Each,1.00,,,u,_029333050629,Master,1.32,0.00,2013-05-29,2075-12-31
_2933306142,HOOKS GOLD SIZE 4,1053899,1053899,,,,a,601 34 016,Each,1.00,,,u,_029333061427,Master,1.32,0.00,2013-05-29,2075-12-31
_2933306143,HOOKS GOLD SIZE 2,1053898,1053898,,,,a,601 34 016,Each,1.00,,,u,_029333061434,Master,1.32,0.00,2013-05-29,2075-12-31
_3877507271,EGG SINKERS,117728,117728,,,,a,601 34 016,Each,1.00,,,u,_038775072717,Master,2.10,0.00,1900-01-01,2075-12-31
_3936410521,FISHING FLOAT 1.75IN 2PK,154696,154696,,,,a,601 34 016,Each,1.00,,,u,_039364105212,Master,1.25,0.00,1900-01-01,2075-12-31
_3936415919,RED/WHITE FLOATS 1-1/4,136127,136127,,,,a,601 34 016,Each,1.00,,,u,_039364159192,Master,1.25,0.00,1900-01-01,2075-12-31
_3936415989,RED/WHITE FLOATS 1 1/2  2PK,102549,102549,,,,a,601 34 016,Each,1.00,,,u,_039364159895,Master,1.25,0.00,1900-01-01,2075-12-31
_3936416347,FISHING STICK FLOATS,1053891,1053891,,,,a,601 34 016,Each,1.00,,,u,_039364163472,Master,1.25,0.00,1900-01-01,2075-12-31
_5065100100,NIGHT CRAWLERS 1 DZN,93011,93011,,,,a,601 34 016,Each,1.00,,,u,_850651001006,Master,2.00,0.00,2015-07-01,2075-12-31
_5065100101,WAX WORMS,128648,128648,,,,a,601 34 016,Each,1.00,,,u,_788633500363,Master,1.79,0.00,2015-07-01,2075-12-31
_5065100101,,,,,,,,,,,,,u,_850651001013,,,,,
_5065100102,TROUTWORMS,165745,165745,,,,a,601 34 016,Each,1.00,,,u,_788633001402,Master,2.65,0.00,1900-01-01,2075-12-31
_5065100102,,,,,,,,,,,,,u,_837800006662,,,,,
_5065100102,,,,,,,,,,,,,u,_850651001020,,,,,
_5065100105,WORM GLO NIGHTCRAWLERS,1053888,1053888,,,,a,601 34 016,Each,1.00,,,u,_850651001051,Master,2.50,0.00,1900-01-01,2075-12-31
