ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_033293003007,FREIX CORDON NEGRO BRUT 750ML,35000567,35000567,,,,a,401 03A 000,Case,12.00,,,u,_033293003007,Master,115.00,0.00,1900-01-01,2075-12-31
_033293003809,FRIEXENENT CORDON NEGRO X DRY 750ML,33000652,33000652,,,,a,401 03A 000,Case,12.00,,,u,_033293003809,Master,115.00,0.00,1900-01-01,2075-12-31
_033293005551,FREIXENET CARTA NEVADA 750ML,32000229,32000229,,,,a,401 03A 000,Case,12.00,,,u,_033293005551,Master,88.00,0.00,1900-01-01,2075-12-31
_081753050207,VEUVE CLICQUOT YLW BRUT CHAMP 750ML,33000659,33000659,,,,a,401 03A 000,Case,12.00,,,u,_081753050207,Master,579.00,0.00,1900-01-01,2075-12-31
_084279977638,RISATA MOSCATO D ASTI 750ML,32001123,32001123,,,,a,401 03A 000,Case,6.00,,,u,_084279977638,Master,72.00,0.00,1900-01-01,2075-12-31
_087752005644,BARTENURA MOSCATO 750ML,33000651,33000651,,,,a,401 03A 000,Case,12.00,,,u,_087752005644,Master,120.00,0.00,1900-01-01,2075-12-31
_632987200205,SANTA MARGHERTA PINTO GRIGIO 750ML,33000654,33000654,,,,a,401 03A 000,Case,12.00,,,u,_632987200205,Master,216.00,0.00,1900-01-01,2075-12-31
_711408630538,TOAD HALLOW PINOT NOIR 750ML,33000658,33000658,,,,a,401 03A 000,Case,12.00,,,u,_711408630538,Master,144.00,0.00,1900-01-01,2075-12-31
_711408713651,TOAD HALLOW CHARDONNAY 750ML,33000657,33000657,,,,a,401 03A 000,Case,12.00,,,u,_711408713651,Master,128.00,0.00,1900-01-01,2075-12-31
_746751687137,MARIETTA OLD VINE RED 750ML,33000653,33000653,,,,a,401 03A 000,Case,12.00,,,u,_746751687137,Master,120.00,0.00,1900-01-01,2075-12-31
_877520148570,BARENURA BRACHETTO 750ML,33000648,33000648,,,,a,401 03A 000,Case,12.00,,,u,_877520148570,Master,120.00,0.00,1900-01-01,2075-12-31
