ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_014800004946,CLAMATO PET 12z,1087649,1087649,,,,a,601 12A 000,Case,24.00,,,u,_014800004946,Master,11.75,0.00,2018-05-07,2075-12-31
_014800004946,,,,,,,,,,,,,u,_014800004960,,,,,
_022100000780,PABST 4PK 16z CN,184243,184243,,,,a,401 01A 000,Case,24.00,,,u,_022100000780,Master,18.96,0.00,2018-10-01,2075-12-31
_022100001572,PABST 18PK 12z CN,1051644,1051644,,,,a,401 01F 000,Case,18.00,,,u,_022100001572,Master,11.72,0.00,2018-12-31,2075-12-31
_033544950258,VICTORIA 32z LN,1085687,1085687,,,,a,401 01J 000,Case,12.00,,,u,_033544950258,Master,33.50,0.00,1900-01-01,2075-12-31
_033544950272,MODELO 18PK 12z LN,1085697,1085697,,,,a,401 01F 000,Case,18.00,,,u,_033544950272,Master,19.60,0.00,1900-01-01,2075-12-31
_033544950319,PACIFICO 12PK 12z CN,1085686,1085686,,,,a,401 01D 000,Case,24.00,,,u,_033544950319,Master,30.36,0.00,2018-12-31,2075-12-31
_033544950333,MODELO CHELADA PICANTE 24z CN,1085681,1085681,,,,a,401 01J 000,Case,12.00,,,u,_033544950333,Master,26.50,0.00,1900-01-01,2075-12-31
_033544950418,CORONA PREMIER 6PK 12z LN,1083425,1083425,,,,a,401 01B 000,Case,24.00,,,u,_033544950418,Master,30.36,0.00,2018-10-01,2075-12-31
_033544950425,CORONA PREMIER 12PK 12z LN,1085684,1085684,,,,a,401 01D 000,Case,24.00,,,u,_033544950425,Master,27.28,0.00,2018-10-01,2075-12-31
_033544950470,CORONA PREMIER 24z CN,1085682,1085682,,,,a,401 01J 000,Case,12.00,,,u,_033544950470,Master,26.50,0.00,1900-01-01,2075-12-31
_033544950562,CORONA LT 4PK 16z CN,1085685,1085685,,,,a,401 01A 000,Case,24.00,,,u,_033544950562,Master,33.36,0.00,2018-10-01,2075-12-31
_033544950906,MODELO 32Z LN,1097751,1097751,,,,a,401 01J 000,Case,12.00,,,u,_033544950906,Master,33.50,0.00,1900-01-01,2075-12-31
_033544950906,,,,,,,,,,,,,u,_335449509068,,,,,
_034100000080,MILLER HL 32Z CN,1053781,1053781,,,,a,401 01J 000,Case,12.00,,,u,_034100000080,Master,16.68,0.00,1900-01-01,2075-12-31
_034100000097,MILLER HL 40z LN,13483,13483,,,,a,401 01J 000,Case,12.00,,,u,_034100000097,Master,18.39,0.00,2018-10-01,2075-12-31
_034100000097,,,,,,,,,,,,,u,_034100007638,,,,,
_034100000097,,,,,,,,,,,,,u,_034100016371,,,,,
_034100001520,MILLER HL 4PK 16z CN,171950,171950,,,,a,401 01A 000,Case,24.00,,,u,_034100001520,Master,18.96,0.00,2018-10-01,2075-12-31
_034100001520,,,,,,,,,,,,,u,_034100013080,,,,,
_034100001582,MILLER LT 4PK 16z CN,172343,172343,,,,a,401 01A 000,Case,24.00,,,u,_034100001582,Master,22.22,0.00,2016-07-18,2075-12-31
_034100001605,ICEHOUSE 4PK 16z CN,72394,72394,,,,a,401 01A 000,Case,24.00,,,u,_034100001605,Master,18.96,0.00,2018-10-01,2075-12-31
_034100001629,MILW BEST ICE 4PK 16z CN,168823,168823,,,,a,401 01A 000,Case,24.00,,,u,_034100001629,Master,16.56,0.00,2018-10-01,2075-12-31
_034100001735,HAMMS 6PK 16z CN,1084246,1084246,,,,a,401 01B 000,Case,24.00,,,u,_034100001735,Master,16.56,0.00,2018-10-01,2075-12-31
_034100001858,MICKEYS 40z LN,16595,16595,,,,a,401 01J 000,Case,12.00,,,u,_034100001858,Master,18.39,0.00,2018-10-01,2075-12-31
_034100001858,,,,,,,,,,,,,u,_034100774349,,,,,
