04-20-19T15:35:28: Start Log
04-20-19T15:35:28: Processing File: Chuck.xlsx
04-20-19T15:35:30: Item Rows: 10, External Id: 10901
04-20-19T15:35:30: Finished File: Chuck.xlsx
04-20-19T15:35:30: File created in final csv folder: Chuck.csv
04-20-19T15:35:30: ...
04-20-19T15:35:30: Processing File: Retail Item-601 General Merchan_02.xlsx
04-20-19T15:35:32: Item Rows: 10, External Id: 10784
04-20-19T15:35:32: Item Rows: 20, External Id: 102464
04-20-19T15:35:33: Item Rows: 30, External Id: 119507
04-20-19T15:35:33: Item Rows: 40, External Id: 134648
04-20-19T15:35:34: Item Rows: 50, External Id: 146350
04-20-19T15:35:34: Item Rows: 60, External Id: 153759
04-20-19T15:35:34: Item Rows: 70, External Id: 157027
04-20-19T15:35:35: Item Rows: 80, External Id: 164357
04-20-19T15:35:35: Item Rows: 90, External Id: 16678
04-20-19T15:35:36: Item Rows: 100, External Id: 167753
04-20-19T15:35:36: Item Rows: 110, External Id: 43854
04-20-19T15:35:37: Item Rows: 120, External Id: 1020864
04-20-19T15:35:37: Item Rows: 130, External Id: 85946
04-20-19T15:35:37: Item Rows: 140, External Id: 91391
04-20-19T15:35:38: Item Rows: 150, External Id: 169262
04-20-19T15:35:38: Item Rows: 160, External Id: 174137
04-20-19T15:35:39: Item Rows: 170, External Id: 175401
04-20-19T15:35:39: Item Rows: 180, External Id: 1032431
04-20-19T15:35:40: Item Rows: 190, External Id: 179174
04-20-19T15:35:40: Item Rows: 200, External Id: 179851
04-20-19T15:35:40: Item Rows: 210, External Id: 180133
04-20-19T15:35:40: Item Rows: 220, External Id: 180133
04-20-19T15:35:41: Item Rows: 230, External Id: 180891
04-20-19T15:35:41: Item Rows: 240, External Id: 182445
04-20-19T15:35:42: Item Rows: 250, External Id: 183468
04-20-19T15:35:42: Item Rows: 260, External Id: 184903
04-20-19T15:35:42: Item Rows: 270, External Id: 186026
04-20-19T15:35:43: Item Rows: 280, External Id: 186596
04-20-19T15:35:43: Item Rows: 290, External Id: 187161
04-20-19T15:35:44: Item Rows: 300, External Id: 10027901
04-20-19T15:35:44: Item Rows: 310, External Id: 1044686
04-20-19T15:35:45: Item Rows: 320, External Id: 1045116
04-20-19T15:35:45: Item Rows: 330, External Id: 189320
04-20-19T15:35:46: Item Rows: 340, External Id: 190026
04-20-19T15:35:46: Item Rows: 350, External Id: 1046965
04-20-19T15:35:47: Item Rows: 360, External Id: 1047438
04-20-19T15:35:47: Item Rows: 370, External Id: 191892
04-20-19T15:35:47: Item Rows: 380, External Id: 192650
04-20-19T15:35:48: Item Rows: 390, External Id: 1050104
04-20-19T15:35:48: Item Rows: 400, External Id: 1050491
04-20-19T15:35:49: Item Rows: 410, External Id: 1051136
04-20-19T15:35:49: Item Rows: 420, External Id: 1052297
04-20-19T15:35:49: Item Rows: 430, External Id: 1052727
04-20-19T15:35:50: Item Rows: 440, External Id: 1053071
04-20-19T15:35:50: Item Rows: 450, External Id: 1054103
04-20-19T15:35:51: Item Rows: 460, External Id: 1054791
04-20-19T15:35:51: Item Rows: 470, External Id: 1055780
04-20-19T15:35:52: Item Rows: 480, External Id: 1056984
04-20-19T15:35:52: Item Rows: 490, External Id: 1058102
04-20-19T15:35:53: Item Rows: 500, External Id: 10167142
04-20-19T15:35:53: Item Rows: 510, External Id: 10025207
04-20-19T15:35:53: Item Rows: 520, External Id: 1064165
04-20-19T15:35:54: Item Rows: 530, External Id: 1065369
04-20-19T15:35:54: Item Rows: 540, External Id: 1066530
04-20-19T15:35:55: Item Rows: 550, External Id: 1067261
04-20-19T15:35:55: Item Rows: 560, External Id: 20000151
04-20-19T15:35:56: Item Rows: 570, External Id: 20000778
04-20-19T15:35:56: Item Rows: 580, External Id: 20001011
04-20-19T15:35:57: Item Rows: 590, External Id: 20001399
04-20-19T15:35:57: Item Rows: 600, External Id: 20001871
04-20-19T15:35:58: Item Rows: 610, External Id: 20005898
04-20-19T15:35:58: Item Rows: 620, External Id: 20005516
04-20-19T15:35:59: Item Rows: 630, External Id: 20005125
04-20-19T15:35:59: Item Rows: 640, External Id: 20004913
04-20-19T15:36:00: Item Rows: 650, External Id: 20006195
04-20-19T15:36:00: Item Rows: 660, External Id: 20003565
04-20-19T15:36:01: Item Rows: 670, External Id: 20004096
04-20-19T15:36:01: Item Rows: 680, External Id: 20004349
04-20-19T15:36:02: Item Rows: 690, External Id: 1076033
04-20-19T15:36:02: Item Rows: 700, External Id: 1078570
04-20-19T15:36:03: Item Rows: 710, External Id: 1079774
04-20-19T15:36:03: Item Rows: 720, External Id: 1081408
04-20-19T15:36:04: Item Rows: 730, External Id: 1082139
04-20-19T15:36:04: Item Rows: 740, External Id: 1083429
04-20-19T15:36:04: Item Rows: 750, External Id: 1084934
04-20-19T15:36:05: Item Rows: 760, External Id: 1086267
04-20-19T15:36:05: Item Rows: 770, External Id: 1087342
04-20-19T15:36:06: Item Rows: 780, External Id: 1089191
04-20-19T15:36:06: Item Rows: 790, External Id: 32004179
04-20-19T15:36:07: Item Rows: 800, External Id: 32005365
04-20-19T15:36:07: Item Rows: 810, External Id: 33000272
04-20-19T15:36:08: Item Rows: 820, External Id: 35002433
04-20-19T15:36:08: Item Rows: 830, External Id: 35002488
04-20-19T15:36:09: Item Rows: 840, External Id: 35002966
04-20-19T15:36:09: Item Rows: 850, External Id: 35001349
04-20-19T15:36:10: Item Rows: 860, External Id: 35001394
04-20-19T15:36:10: Item Rows: 870, External Id: 34800157
04-20-19T15:36:11: Item Rows: 880, External Id: 34800636
04-20-19T15:36:11: Item Rows: 890, External Id: 34801064
04-20-19T15:36:11: Item Rows: 900, External Id: 34801337
04-20-19T15:36:12: Item Rows: 910, External Id: 36000737
04-20-19T15:36:12: Item Rows: 920, External Id: 36001642
04-20-19T15:36:13: Item Rows: 930, External Id: 36001176
04-20-19T15:36:13: Item Rows: 940, External Id: 36002333
04-20-19T15:36:14: Item Rows: 950, External Id: 36002046
04-20-19T15:36:14: Item Rows: 960, External Id: 36010672
04-20-19T15:36:15: Item Rows: 970, External Id: 36011103
04-20-19T15:36:15: Item Rows: 980, External Id: 36002867
04-20-19T15:36:16: Item Rows: 990, External Id: 36011872
04-20-19T15:36:16: Item Rows: 1000, External Id: 36003697
04-20-19T15:36:16: Item Rows: 1010, External Id: 36004873
04-20-19T15:36:17: Item Rows: 1020, External Id: 36012042
04-20-19T15:36:17: Item Rows: 1030, External Id: 36012071
04-20-19T15:36:18: Item Rows: 1040, External Id: 36012219
04-20-19T15:36:18: Item Rows: 1050, External Id: 36004762
04-20-19T15:36:19: Item Rows: 1060, External Id: 36008849
04-20-19T15:36:19: Item Rows: 1070, External Id: 36005916
04-20-19T15:36:20: Item Rows: 1080, External Id: 36009084
