09-11-19T12:57:18: Start Log
09-11-19T12:57:18: Processing File: Retail Item Fix Missing Attributes 09-10-2019.xlsx
09-11-19T12:57:20: Item Rows: 10, External Id: 10424
09-11-19T12:57:20: Item Rows: 20, External Id: 122355
09-11-19T12:57:21: Item Rows: 30, External Id: 126198
09-11-19T12:57:21: Item Rows: 40, External Id: 138696
09-11-19T12:57:21: Item Rows: 50, External Id: 14523
09-11-19T12:57:21: Item Rows: 60, External Id: 152691
09-11-19T12:57:21: Item Rows: 70, External Id: 152764
09-11-19T12:57:22: Item Rows: 80, External Id: 159519
09-11-19T12:57:22: Item Rows: 90, External Id: 30564
09-11-19T12:57:22: Item Rows: 100, External Id: 33677
09-11-19T12:57:22: Item Rows: 110, External Id: 36833
09-11-19T12:57:22: Item Rows: 120, External Id: 53699
09-11-19T12:57:22: Item Rows: 130, External Id: 77408
09-11-19T12:57:22: Item Rows: 140, External Id: 81337
09-11-19T12:57:23: Item Rows: 150, External Id: 173982
09-11-19T12:57:23: Item Rows: 160, External Id: 178406
09-11-19T12:57:23: Item Rows: 170, External Id: 180846
09-11-19T12:57:23: Item Rows: 180, External Id: 180967
09-11-19T12:57:23: Item Rows: 190, External Id: 181053
09-11-19T12:57:23: Item Rows: 200, External Id: 182250
09-11-19T12:57:24: Item Rows: 210, External Id: 183444
09-11-19T12:57:24: Item Rows: 220, External Id: 184223
09-11-19T12:57:24: Item Rows: 230, External Id: 185323
09-11-19T12:57:24: Item Rows: 240, External Id: 185697
09-11-19T12:57:24: Item Rows: 250, External Id: 185700
09-11-19T12:57:24: Item Rows: 260, External Id: 185703
09-11-19T12:57:25: Item Rows: 270, External Id: 1050097
09-11-19T12:57:25: Item Rows: 280, External Id: 1050941
09-11-19T12:57:25: Item Rows: 290, External Id: 1051053
09-11-19T12:57:25: Item Rows: 300, External Id: 1052291
09-11-19T12:57:25: Item Rows: 310, External Id: 1053238
09-11-19T12:57:26: Item Rows: 320, External Id: 1055438
09-11-19T12:57:26: Item Rows: 330, External Id: 1057434
09-11-19T12:57:26: Item Rows: 340, External Id: 1058018
09-11-19T12:57:26: Item Rows: 350, External Id: 1058062
09-11-19T12:57:26: Item Rows: 360, External Id: 10152283
09-11-19T12:57:27: Item Rows: 370, External Id: 10192060
09-11-19T12:57:27: Item Rows: 380, External Id: 10162933
09-11-19T12:57:27: Item Rows: 390, External Id: 1076695
09-11-19T12:57:27: Item Rows: 400, External Id: 1077943
09-11-19T12:57:27: Item Rows: 410, External Id: 1077990
09-11-19T12:57:28: Item Rows: 420, External Id: 1078047
09-11-19T12:57:28: Item Rows: 430, External Id: 1080154
09-11-19T12:57:28: Item Rows: 440, External Id: 1080293
09-11-19T12:57:28: Item Rows: 450, External Id: 1080687
09-11-19T12:57:29: Item Rows: 460, External Id: 1080959
09-11-19T12:57:29: Item Rows: 470, External Id: 1081101
09-11-19T12:57:29: Item Rows: 480, External Id: 1081126
09-11-19T12:57:29: Item Rows: 490, External Id: 1081229
09-11-19T12:57:30: Item Rows: 500, External Id: 1081585
09-11-19T12:57:30: Item Rows: 510, External Id: 1082138
09-11-19T12:57:30: Item Rows: 520, External Id: 1082425
09-11-19T12:57:31: Item Rows: 530, External Id: 1083245
09-11-19T12:57:31: Item Rows: 540, External Id: 1083310
09-11-19T12:57:31: Item Rows: 550, External Id: 1083421
09-11-19T12:57:31: Item Rows: 560, External Id: 1083576
09-11-19T12:57:31: Item Rows: 570, External Id: 1083985
09-11-19T12:57:32: Item Rows: 580, External Id: 1084043
09-11-19T12:57:32: Item Rows: 590, External Id: 1086285
09-11-19T12:57:32: Item Rows: 600, External Id: 1086802
09-11-19T12:57:32: Item Rows: 610, External Id: 1089166
09-11-19T12:57:32: Item Rows: 620, External Id: 1099942
09-11-19T12:57:33: Item Rows: 630, External Id: 1120708
09-11-19T12:57:33: Item Rows: 640, External Id: 1120724
09-11-19T12:57:33: Item Rows: 650, External Id: 1122582
09-11-19T12:57:34: Item Rows: 660, External Id: 113733
09-11-19T12:57:34: Item Rows: 670, External Id: 13899
09-11-19T12:57:34: Item Rows: 680, External Id: 13903
09-11-19T12:57:34: Item Rows: 690, External Id: 13928
09-11-19T12:57:35: Item Rows: 700, External Id: 139291
