10-10-19T22:43:33: Start Log
10-10-19T22:43:33: Found Input File: C:\Users\chuck\Documents\ROC\Speedway-Source\Data Extraction And Loading\Import Files\Supplier Item\FinalCSV\Supplier Item-EBYEAUCL_EBYEAUCL-EBY-BROWN (WI)_01.csv
10-10-19T22:43:33: Supplier Name: EBYEAUCL-EBY-BROWN (WI)
10-10-19T22:43:33: Supplier Items Rows: 10
10-10-19T22:43:33: Supplier Items Rows: 20
10-10-19T22:43:33: Supplier Items Rows: 30
10-10-19T22:43:33: Supplier Items Rows: 40
10-10-19T22:43:33: Supplier Items Rows: 50
10-10-19T22:43:33: Supplier Items Rows: 60
10-10-19T22:43:33: Supplier Items Rows: 70
10-10-19T22:43:33: Supplier Items Rows: 80
10-10-19T22:43:33: Supplier Items Rows: 90
10-10-19T22:43:33: Supplier Items Rows: 100
10-10-19T22:43:33: Supplier Items Rows: 110
10-10-19T22:43:33: Supplier Items Rows: 120
10-10-19T22:43:33: Supplier Items Rows: 130
10-10-19T22:43:33: Supplier Items Rows: 140
10-10-19T22:43:33: Supplier Items Rows: 150
10-10-19T22:43:33: Supplier Items Rows: 160
10-10-19T22:43:33: Supplier Items Rows: 170
10-10-19T22:43:33: Supplier Items Rows: 180
10-10-19T22:43:33: Supplier Items Rows: 190
10-10-19T22:43:33: Supplier Items Rows: 200
10-10-19T22:43:33: Supplier Items Rows: 210
10-10-19T22:43:33: Supplier Items Rows: 220
10-10-19T22:43:33: Supplier Items Rows: 230
10-10-19T22:43:33: Supplier Items Rows: 240
10-10-19T22:43:33: Supplier Items Rows: 250
10-10-19T22:43:33: Supplier Items Rows: 260
10-10-19T22:43:33: Supplier Items Rows: 270
10-10-19T22:43:33: Supplier Items Rows: 280
10-10-19T22:43:33: Supplier Items Rows: 290
10-10-19T22:43:33: Supplier Items Rows: 300
10-10-19T22:43:33: Supplier Items Rows: 310
10-10-19T22:43:33: Supplier Items Rows: 320
10-10-19T22:43:33: Supplier Items Rows: 330
10-10-19T22:43:33: Supplier Items Rows: 340
10-10-19T22:43:33: Supplier Items Rows: 350
10-10-19T22:43:33: Supplier Items Rows: 360
10-10-19T22:43:33: Supplier Items Rows: 370
10-10-19T22:43:33: Supplier Items Rows: 380
10-10-19T22:43:33: Supplier Items Rows: 390
10-10-19T22:43:33: Supplier Items Rows: 400
10-10-19T22:43:33: Supplier Items Rows: 410
10-10-19T22:43:33: Supplier Items Rows: 420
10-10-19T22:43:33: Supplier Items Rows: 430
10-10-19T22:43:33: Supplier Items Rows: 440
10-10-19T22:43:33: Supplier Items Rows: 450
10-10-19T22:43:33: Supplier Items Rows: 460
10-10-19T22:43:33: Supplier Items Rows: 470
10-10-19T22:43:33: Supplier Items Rows: 480
10-10-19T22:43:33: Supplier Items Rows: 490
10-10-19T22:43:33: Supplier Items Rows: 500
10-10-19T22:43:33: Supplier Items Rows: 510
10-10-19T22:43:33: Supplier Items Rows: 520
10-10-19T22:43:33: Supplier Items Rows: 530
10-10-19T22:43:33: Supplier Items Rows: 540
10-10-19T22:43:33: Supplier Items Rows: 550
10-10-19T22:43:33: Supplier Items Rows: 560
10-10-19T22:43:33: Supplier Items Rows: 570
10-10-19T22:43:33: Supplier Items Rows: 580
10-10-19T22:43:33: Supplier Items Rows: 590
10-10-19T22:43:33: Supplier Items Rows: 600
10-10-19T22:43:33: Supplier Items Rows: 610
10-10-19T22:43:33: Supplier Items Rows: 620
10-10-19T22:43:33: Supplier Items Rows: 630
10-10-19T22:43:33: Supplier Items Rows: 640
10-10-19T22:43:33: Supplier Items Rows: 650
10-10-19T22:43:33: Supplier Items Rows: 660
10-10-19T22:43:33: Supplier Items Rows: 670
10-10-19T22:43:33: Supplier Items Rows: 680
10-10-19T22:43:33: Supplier Items Rows: 690
10-10-19T22:43:33: Supplier Items Rows: 700
10-10-19T22:43:33: Supplier Items Rows: 710
10-10-19T22:43:33: Supplier Items Rows: 720
10-10-19T22:43:33: Supplier Items Rows: 730
10-10-19T22:43:33: Supplier Items Rows: 740
10-10-19T22:43:33: Supplier Items Rows: 750
10-10-19T22:43:33: Supplier Items Rows: 760
10-10-19T22:43:33: Supplier Items Rows: 770
10-10-19T22:43:33: Supplier Items Rows: 780
10-10-19T22:43:33: Supplier Items Rows: 790
10-10-19T22:43:33: Supplier Items Rows: 800
10-10-19T22:43:33: Supplier Items Rows: 810
10-10-19T22:43:33: Supplier Items Rows: 820
10-10-19T22:43:33: Supplier Items Rows: 830
10-10-19T22:43:33: Supplier Items Rows: 840
10-10-19T22:43:33: Supplier Items Rows: 850
10-10-19T22:43:33: Supplier Items Rows: 860
10-10-19T22:43:33: Supplier Items Rows: 870
10-10-19T22:43:33: Supplier Items Rows: 880
10-10-19T22:43:33: Supplier Items Rows: 890
10-10-19T22:43:33: Supplier Items Rows: 900
10-10-19T22:43:33: Supplier Items Rows: 910
10-10-19T22:43:33: Supplier Items Rows: 920
10-10-19T22:43:33: Supplier Items Rows: 930
10-10-19T22:43:33: Supplier Items Rows: 940
10-10-19T22:43:33: Supplier Items Rows: 950
10-10-19T22:43:33: Supplier Items Rows: 960
10-10-19T22:43:33: Supplier Items Rows: 970
10-10-19T22:43:33: Supplier Items Rows: 980
10-10-19T22:43:33: Supplier Items Rows: 990
10-10-19T22:43:33: Supplier Items Rows: 1000
10-10-19T22:43:33: Supplier Items Rows: 1010
10-10-19T22:43:33: Supplier Items Rows: 1020
10-10-19T22:43:33: Supplier Items Rows: 1030
10-10-19T22:43:33: Supplier Items Rows: 1040
10-10-19T22:43:33: Supplier Items Rows: 1050
10-10-19T22:43:33: Supplier Items Rows: 1060
10-10-19T22:43:33: Supplier Items Rows: 1070
10-10-19T22:43:33: Supplier Items Rows: 1080
10-10-19T22:43:33: Supplier Items Rows: 1090
10-10-19T22:43:33: Supplier Items Rows: 1100
10-10-19T22:43:33: Supplier Items Rows: 1110
10-10-19T22:43:33: Supplier Items Rows: 1120
10-10-19T22:43:33: Supplier Items Rows: 1130
10-10-19T22:43:33: Supplier Items Rows: 1140
10-10-19T22:43:33: Supplier Items Rows: 1150
10-10-19T22:43:33: Supplier Items Rows: 1160
10-10-19T22:43:33: Supplier Items Rows: 1170
10-10-19T22:43:33: Supplier Items Rows: 1180
10-10-19T22:43:33: Supplier Items Rows: 1190
10-10-19T22:43:33: Supplier Items Rows: 1200
10-10-19T22:43:33: Supplier Items Rows: 1210
10-10-19T22:43:33: Supplier Items Rows: 1220
10-10-19T22:43:33: Supplier Items Rows: 1230
10-10-19T22:43:33: Supplier Items Rows: 1240
10-10-19T22:43:33: Supplier Items Rows: 1250
10-10-19T22:43:33: Supplier Items Rows: 1260
10-10-19T22:43:33: Supplier Items Rows: 1270
10-10-19T22:43:33: Supplier Items Rows: 1280
10-10-19T22:43:33: Supplier Items Rows: 1290
10-10-19T22:43:33: Supplier Items Rows: 1300
10-10-19T22:43:33: Supplier Items Rows: 1310
10-10-19T22:43:33: Supplier Items Rows: 1320
10-10-19T22:43:33: Supplier Items Rows: 1330
10-10-19T22:43:33: Supplier Items Rows: 1340
10-10-19T22:43:33: Supplier Items Rows: 1350
10-10-19T22:43:33: Supplier Items Rows: 1360
10-10-19T22:43:33: Supplier Items Rows: 1370
10-10-19T22:43:33: Supplier Items Rows: 1380
10-10-19T22:43:33: Supplier Items Rows: 1390
10-10-19T22:43:33: Supplier Items Rows: 1400
10-10-19T22:43:33: Supplier Items Rows: 1410
10-10-19T22:43:33: Supplier Items Rows: 1420
10-10-19T22:43:33: Supplier Items Rows: 1430
10-10-19T22:43:33: Supplier Items Rows: 1440
10-10-19T22:43:33: Supplier Items Rows: 1450
10-10-19T22:43:33: Supplier Items Rows: 1460
10-10-19T22:43:33: Supplier Items Rows: 1470
10-10-19T22:43:33: Supplier Items Rows: 1480
10-10-19T22:43:33: Supplier Items Rows: 1490
10-10-19T22:43:33: Supplier Items Rows: 1500
10-10-19T22:43:33: Supplier Items Rows: 1510
10-10-19T22:43:33: Supplier Items Rows: 1520
10-10-19T22:43:33: Supplier Items Rows: 1530
10-10-19T22:43:33: Supplier Items Rows: 1540
10-10-19T22:43:33: Supplier Items Rows: 1550
10-10-19T22:43:33: Supplier Items Rows: 1560
10-10-19T22:43:33: Supplier Items Rows: 1570
10-10-19T22:43:33: Supplier Items Rows: 1580
10-10-19T22:43:33: Supplier Items Rows: 1590
10-10-19T22:43:33: Supplier Items Rows: 1600
10-10-19T22:43:33: Supplier Items Rows: 1610
10-10-19T22:43:33: Supplier Items Rows: 1620
10-10-19T22:43:33: Supplier Items Rows: 1630
10-10-19T22:43:33: Supplier Items Rows: 1640
10-10-19T22:43:33: Supplier Items Rows: 1650
10-10-19T22:43:33: Supplier Items Rows: 1660
10-10-19T22:43:33: Supplier Items Rows: 1670
10-10-19T22:43:33: Supplier Items Rows: 1680
10-10-19T22:43:33: Supplier Items Rows: 1690
10-10-19T22:43:33: Supplier Items Rows: 1700
10-10-19T22:43:33: Supplier Items Rows: 1710
10-10-19T22:43:33: Supplier Items Rows: 1720
10-10-19T22:43:33: Supplier Items Rows: 1730
10-10-19T22:43:33: Supplier Items Rows: 1740
10-10-19T22:43:33: Supplier Items Rows: 1750
10-10-19T22:43:33: Supplier Items Rows: 1760
10-10-19T22:43:33: Supplier Items Rows: 1770
10-10-19T22:43:33: Supplier Items Rows: 1780
10-10-19T22:43:33: Supplier Items Rows: 1790
10-10-19T22:43:33: Supplier Items Rows: 1800
10-10-19T22:43:33: Supplier Items Rows: 1810
10-10-19T22:43:34: Supplier Items Rows: 1820
10-10-19T22:43:34: Supplier Items Rows: 1830
10-10-19T22:43:34: Supplier Items Rows: 1840
10-10-19T22:43:34: Supplier Items Rows: 1850
10-10-19T22:43:34: Supplier Items Rows: 1860
10-10-19T22:43:34: Supplier Items Rows: 1870
10-10-19T22:43:34: Supplier Items Rows: 1880
10-10-19T22:43:34: Supplier Items Rows: 1890
10-10-19T22:43:34: Supplier Items Rows: 1900
10-10-19T22:43:34: Supplier Items Rows: 1910
10-10-19T22:43:34: Supplier Items Rows: 1920
10-10-19T22:43:34: Supplier Items Rows: 1930
10-10-19T22:43:34: Supplier Items Rows: 1940
10-10-19T22:43:34: Supplier Items Rows: 1950
10-10-19T22:43:34: Supplier Items Rows: 1960
10-10-19T22:43:34: Supplier Items Rows: 1970
10-10-19T22:43:34: Supplier Items Rows: 1980
10-10-19T22:43:34: Supplier Items Rows: 1990
10-10-19T22:43:34: Supplier Items Rows: 2000
10-10-19T22:43:34: Supplier Items Rows: 2010
10-10-19T22:43:34: Supplier Items Rows: 2020
10-10-19T22:43:34: Supplier Items Rows: 2030
10-10-19T22:43:34: Supplier Items Rows: 2040
10-10-19T22:43:34: Supplier Items Rows: 2050
10-10-19T22:43:34: Supplier Items Rows: 2060
10-10-19T22:43:34: Supplier Items Rows: 2070
10-10-19T22:43:34: Supplier Items Rows: 2080
10-10-19T22:43:34: Supplier Items Rows: 2090
10-10-19T22:43:34: Supplier Items Rows: 2100
10-10-19T22:43:34: Supplier Items Rows: 2110
10-10-19T22:43:34: Supplier Items Rows: 2120
10-10-19T22:43:34: Supplier Items Rows: 2130
10-10-19T22:43:34: Supplier Items Rows: 2140
10-10-19T22:43:34: Supplier Items Rows: 2150
10-10-19T22:43:34: Supplier Items Rows: 2160
10-10-19T22:43:34: Supplier Items Rows: 2170
10-10-19T22:43:34: Supplier Items Rows: 2180
10-10-19T22:43:34: Supplier Items Rows: 2190
10-10-19T22:43:34: Supplier Items Rows: 2200
10-10-19T22:43:34: Supplier Items Rows: 2210
10-10-19T22:43:34: Supplier Items Rows: 2220
10-10-19T22:43:34: Supplier Items Rows: 2230
10-10-19T22:43:34: Supplier Items Rows: 2240
10-10-19T22:43:34: Supplier Items Rows: 2250
10-10-19T22:43:34: Supplier Items Rows: 2260
10-10-19T22:43:34: Supplier Items Rows: 2270
10-10-19T22:43:34: Supplier Items Rows: 2280
10-10-19T22:43:34: Supplier Items Rows: 2290
10-10-19T22:43:34: Supplier Items Rows: 2300
10-10-19T22:43:34: Supplier Items Rows: 2310
10-10-19T22:43:34: Supplier Items Rows: 2320
10-10-19T22:43:34: Supplier Items Rows: 2330
10-10-19T22:43:34: Supplier Items Rows: 2340
10-10-19T22:43:34: Supplier Items Rows: 2350
10-10-19T22:43:34: Supplier Items Rows: 2360
10-10-19T22:43:34: Supplier Items Rows: 2370
10-10-19T22:43:34: Supplier Items Rows: 2380
10-10-19T22:43:34: Supplier Items Rows: 2390
10-10-19T22:43:34: Supplier Items Rows: 2400
10-10-19T22:43:34: Supplier Items Rows: 2410
10-10-19T22:43:34: Supplier Items Rows: 2420
10-10-19T22:43:34: Supplier Items Rows: 2430
10-10-19T22:43:34: Supplier Items Rows: 2440
10-10-19T22:43:34: Supplier Items Rows: 2450
10-10-19T22:43:34: Supplier Items Rows: 2460
10-10-19T22:43:34: Supplier Items Rows: 2470
10-10-19T22:43:34: Supplier Items Rows: 2480
10-10-19T22:43:34: Supplier Items Rows: 2490
10-10-19T22:43:34: Supplier Items Rows: 2500
10-10-19T22:43:34: Supplier Items Rows: 2510
10-10-19T22:43:34: Supplier Items Rows: 2520
10-10-19T22:43:34: Supplier Items Rows: 2530
10-10-19T22:43:34: Supplier Items Rows: 2540
10-10-19T22:43:34: Supplier Items Rows: 2550
10-10-19T22:43:34: Supplier Items Rows: 2560
10-10-19T22:43:34: Supplier Items Rows: 2570
10-10-19T22:43:34: Supplier Items Rows: 2580
10-10-19T22:43:34: Supplier Items Rows: 2590
10-10-19T22:43:34: Supplier Items Rows: 2600
10-10-19T22:43:34: Supplier Items Rows: 2610
10-10-19T22:43:34: Supplier Items Rows: 2620
10-10-19T22:43:34: Supplier Items Rows: 2630
10-10-19T22:43:34: Supplier Items Rows: 2640
10-10-19T22:43:34: Supplier Items Rows: 2650
10-10-19T22:43:34: Supplier Items Rows: 2660
10-10-19T22:43:34: Supplier Items Rows: 2670
10-10-19T22:43:34: Supplier Items Rows: 2680
10-10-19T22:43:34: Supplier Items Rows: 2690
10-10-19T22:43:34: Supplier Items Rows: 2700
10-10-19T22:43:34: Supplier Items Rows: 2710
10-10-19T22:43:34: Supplier Items Rows: 2720
10-10-19T22:43:34: Supplier Items Rows: 2730
10-10-19T22:43:34: Supplier Items Rows: 2740
10-10-19T22:43:34: Supplier Items Rows: 2750
10-10-19T22:43:34: Supplier Items Rows: 2760
10-10-19T22:43:34: Supplier Items Rows: 2770
10-10-19T22:43:34: Supplier Items Rows: 2780
10-10-19T22:43:34: Supplier Items Rows: 2790
10-10-19T22:43:34: Supplier Items Rows: 2800
10-10-19T22:43:34: Supplier Items Rows: 2810
10-10-19T22:43:34: Supplier Items Rows: 2820
10-10-19T22:43:34: Supplier Items Rows: 2830
10-10-19T22:43:34: Supplier Items Rows: 2840
10-10-19T22:43:34: Supplier Items Rows: 2850
10-10-19T22:43:34: Supplier Items Rows: 2860
10-10-19T22:43:34: Supplier Items Rows: 2870
10-10-19T22:43:34: Supplier Items Rows: 2880
10-10-19T22:43:34: Supplier Items Rows: 2890
10-10-19T22:43:34: Supplier Items Rows: 2900
10-10-19T22:43:34: Supplier Items Rows: 2910
10-10-19T22:43:34: Supplier Items Rows: 2920
10-10-19T22:43:34: Supplier Items Rows: 2930
10-10-19T22:43:34: Supplier Items Rows: 2940
10-10-19T22:43:34: Supplier Items Rows: 2950
10-10-19T22:43:34: Supplier Items Rows: 2960
10-10-19T22:43:34: Supplier Items Rows: 2970
10-10-19T22:43:34: Supplier Items Rows: 2980
10-10-19T22:43:34: Supplier Items Rows: 2990
10-10-19T22:43:34: Supplier Items Rows: 3000
10-10-19T22:43:34: Supplier Items Rows: 3010
10-10-19T22:43:34: Supplier Items Rows: 3020
10-10-19T22:43:34: Supplier Items Rows: 3030
10-10-19T22:43:34: Supplier Items Rows: 3040
10-10-19T22:43:34: Supplier Items Rows: 3050
10-10-19T22:43:34: Supplier Items Rows: 3060
10-10-19T22:43:34: Supplier Items Rows: 3070
10-10-19T22:43:34: Supplier Items Rows: 3080
10-10-19T22:43:34: Supplier Items Rows: 3090
10-10-19T22:43:34: Supplier Items Rows: 3100
10-10-19T22:43:34: Supplier Items Rows: 3110
10-10-19T22:43:34: Supplier Items Rows: 3120
10-10-19T22:43:34: Supplier Items Rows: 3130
10-10-19T22:43:34: Supplier Items Rows: 3140
10-10-19T22:43:34: Supplier Items Rows: 3150
10-10-19T22:43:34: Supplier Items Rows: 3160
10-10-19T22:43:34: Supplier Items Rows: 3170
10-10-19T22:43:34: Supplier Items Rows: 3180
10-10-19T22:43:34: Supplier Items Rows: 3190
10-10-19T22:43:34: Supplier Items Rows: 3200
10-10-19T22:43:34: Supplier Items Rows: 3210
10-10-19T22:43:34: Supplier Items Rows: 3220
